date,sales,promotion,month,year,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_6
2014-10-31,20396795.7971,0.06552394431433292,10,2014,20022924.1453,13885697.3704,19423912.8571,683480.3130000001
2014-11-30,20532449.4026,0.055343097733683344,11,2014,20396795.7971,20022924.1453,13885697.3704,13380114.501699999
2014-12-31,24343103.8777,0.08027618482087483,12,2014,20532449.4026,20396795.7971,20022924.1453,13320814.6603
2015-01-31,14897410.48,0.04413003950469115,1,2015,24343103.8777,20532449.4026,20396795.7971,19423912.8571
2015-02-28,13742976.623,0.036762070609541196,2,2015,14897410.48,24343103.8777,20532449.4026,13885697.3704
2015-03-31,15599240.296,0.03153089629154079,3,2015,13742976.623,14897410.48,24343103.8777,20022924.1453
2015-04-30,14955661.56,0.041842062184242156,4,2015,15599240.296,13742976.623,14897410.48,20396795.7971
2015-05-31,17731300.465,0.042431909463443857,5,2015,14955661.56,15599240.296,13742976.623,20532449.4026
2015-06-30,21619777.312,0.06466426461404988,6,2015,17731300.465,14955661.56,15599240.296,24343103.8777
2015-07-31,22213196.913,0.07596490287323102,7,2015,21619777.312,17731300.465,14955661.56,14897410.48
2015-08-31,22965297.703,0.06357271980015664,8,2015,22213196.913,21619777.312,17731300.465,13742976.623
2015-09-30,23241823.649,0.11132380823788429,9,2015,22965297.703,22213196.913,21619777.312,15599240.296
2015-10-31,23879168.611,0.0741055738089993,10,2015,23241823.649,22965297.703,22213196.913,14955661.56
2015-11-30,22805952.364,0.08408073951022131,11,2015,23879168.611,23241823.649,22965297.703,17731300.465
2015-12-31,27248105.177,0.07784861278319337,12,2015,22805952.364,23879168.611,23241823.649,21619777.312
2016-01-31,23978563.455000002,0.06464905697579455,1,2016,27248105.177,22805952.364,23879168.611,22213196.913
2016-02-29,21950167.46,0.11127858028651232,2,2016,23978563.455000002,27248105.177,22805952.364,22965297.703
2016-03-31,23133231.955,0.10182595305239527,3,2016,21950167.46,23978563.455000002,27248105.177,23241823.649
2016-04-30,25974894.486,0.11125133750042829,4,2016,23133231.955,21950167.46,23978563.455000002,23879168.611
2016-05-31,24790380.536,0.1580717562729389,5,2016,25974894.486,23133231.955,21950167.46,22805952.364
2016-06-30,22209804.296,0.15645546087165754,6,2016,24790380.536,25974894.486,23133231.955,27248105.177
2016-07-31,23463631.784,0.11479184538843085,7,2016,22209804.296,24790380.536,25974894.486,23978563.455000002
2016-08-31,22453001.862,0.155570130108601,8,2016,23463631.784,22209804.296,24790380.536,21950167.46
2016-09-30,22418158.063,0.15066388128356378,9,2016,22453001.862,23463631.784,22209804.296,23133231.955
2016-10-31,24030872.745,0.1787101509200722,10,2016,22418158.063,22453001.862,23463631.784,25974894.486
2016-11-30,24646646.827,0.2560949642076843,11,2016,24030872.745,22418158.063,22453001.862,24790380.536
2016-12-31,29643999.23,0.23187229876338114,12,2016,24646646.827,24030872.745,22418158.063,22209804.296
2017-01-31,26329884.865000002,0.19782491916339032,1,2017,29643999.23,24646646.827,24030872.745,23463631.784
2017-02-28,23251276.402,0.15551328311975912,2,2017,26329884.865000002,29643999.23,24646646.827,22453001.862
2017-03-31,26705468.862,0.20418629312137182,3,2017,23251276.402,26329884.865000002,29643999.23,22418158.063
2017-04-30,25908304.441,0.18732942273595848,4,2017,26705468.862,23251276.402,26329884.865000002,24030872.745
2017-05-31,26914151.214,0.1972142431242268,5,2017,25908304.441,26705468.862,23251276.402,24646646.827
2017-06-30,25686665.461,0.20191897834597647,6,2017,26914151.214,25908304.441,26705468.862,29643999.23
2017-07-31,27012748.824,0.21834684686956685,7,2017,25686665.461,26914151.214,25908304.441,26329884.865000002
2017-08-31,12433958.007,0.176791315505687,8,2017,27012748.824,25686665.461,26914151.214,23251276.402
